sequence,level,type,id,name,datatype,multiplicity,semantic_path,syntax_sequence,syntax_path,default_value,transformation,required,note
133,3,A,BT-97,Document level allowance reason,Text,0..1,$.invoice.documentLevelAllowances.documentLevelAllowanceReason,0000.0046.0004,/Invoice/cac:AllowanceCharge[cbc:ChargeIndicator=false()]/cbc:AllowanceChargeReason,,,,
134,3,A,BT-98,Document level allowance reason code,Code,0..1,$.invoice.documentLevelAllowances.documentLevelAllowanceReasonCode,0000.0046.0003,/Invoice/cac:AllowanceCharge[cbc:ChargeIndicator=false()]/cbc:AllowanceChargeReasonCode,,,,
135,2,C,BG-21,Document level charges,,0..*,$.invoice.documentLevelCharges,0000.0046,/Invoice/cac:AllowanceCharge[cbc:ChargeIndicator=true()],,,,
136,3,A,BT-99,Document level charge amount,Amount,1..1,$.invoice.documentLevelCharges.documentLevelChargeAmount,0000.0046.0008,/Invoice/cac:AllowanceCharge[cbc:ChargeIndicator=true()]/cbc:Amount,,,,
137,3,A,BT-100,Document level charge base amount,Amount,0..1,$.invoice.documentLevelCharges.documentLevelChargeBaseAmount,0000.0046.0009,/Invoice/cac:AllowanceCharge[cbc:ChargeIndicator=true()]/cbc:BaseAmount,,,,
138,3,A,BT-101,Document level charge percentage,Percentage,0..1,$.invoice.documentLevelCharges.documentLevelChargePercentage,0000.0046.0005,/Invoice/cac:AllowanceCharge[cbc:ChargeIndicator=true()]/cbc:MultiplierFactorNumeric,,,,
139,3,A,BT-102,Document level charge VAT category code,Code,1..1,$.invoice.documentLevelCharges.documentLevelChargeVatCategoryCode,0000.0046.0013.0001,/Invoice/cac:AllowanceCharge[cbc:ChargeIndicator=true()]/cac:TaxCategory/cbc:ID,,,,
140,3,A,BT-103,Document level charge VAT rate,Percentage,0..1,$.invoice.documentLevelCharges.documentLevelChargeVatRate,0000.0046.0013.0003,/Invoice/cac:AllowanceCharge[cbc:ChargeIndicator=true()]/cac:TaxCategory/cbc:Percent,,,,
141,3,A,BT-104,Document level charge reason,Text,0..1,$.invoice.documentLevelCharges.documentLevelChargeReason,0000.0046.0004,/Invoice/cac:AllowanceCharge[cbc:ChargeIndicator=true()]/cbc:AllowanceChargeReason,,,,
142,3,A,BT-105,Document level charge reason code,Code,0..1,$.invoice.documentLevelCharges.documentLevelChargeReasonCode,0000.0046.0003,/Invoice/cac:AllowanceCharge[cbc:ChargeIndicator=true()]/cbc:AllowanceChargeReasonCode,,,,
143,2,C,BG-22,Document totals,,1..1,$.invoice.documentTotals,0000.0053,/Invoice/cac:LegalMonetaryTotal,,,,
144,3,A,BT-106,Sum of invoice line net amount,Amount,1..1,$.invoice.documentTotals.sumOfInvoiceLineNetAmount,0000.0053.0001,/Invoice/cac:LegalMonetaryTotal/cbc:LineExtensionAmount,,,,
145,3,A,BT-107,Sum of allowances on document level,Amount,0..1,$.invoice.documentTotals.sumOfAllowancesOnDocumentLevel,0000.0053.0004,/Invoice/cac:LegalMonetaryTotal/cbc:AllowanceTotalAmount,,,,
146,3,A,BT-108,Sum of charges on document level,Amount,0..1,$.invoice.documentTotals.sumOfChargesOnDocumentLevel,0000.0053.0005,/Invoice/cac:LegalMonetaryTotal/cbc:ChargeTotalAmount,,,,
147,3,A,BT-109,Invoice total amount without VAT,Amount,1..1,$.invoice.documentTotals.invoiceTotalAmountWithoutVat,0000.0053.0002,/Invoice/cac:LegalMonetaryTotal/cbc:TaxExclusiveAmount,,,,
148,3,A,BT-110,Invoice total VAT amount,Amount,1..1,$.invoice.documentTotals.invoiceTotalVatAmount,0000.0051.0001,/Invoice/cac:TaxTotal[cbc:TaxAmount/@currencyID=/Invoice/cbc:DocumentCurrencyCode]/cbc:TaxAmount,,,,
149,3,A,BT-111,Invoice total VAT amount in accounting currency,Amount,0..1,$.invoice.documentTotals.invoiceTotalVatAmountInAccountingCurrency,0000.0051.0001,/Invoice/cac:TaxTotal[cbc:TaxAmount/@currencyID=/Invoice/cbc:TaxCurrencyCode]/cbc:TaxAmount,,,,
150,3,A,BT-112,Invoice total amount with VAT,Amount,1..1,$.invoice.documentTotals.invoiceTotalAmountWithVat,0000.0053.0003,/Invoice/cac:LegalMonetaryTotal/cbc:TaxInclusiveAmount,,,,
151,3,A,BT-113,Paid amount,Amount,0..1,$.invoice.documentTotals.paidAmount,0000.0053.0006,/Invoice/cac:LegalMonetaryTotal/cbc:PrepaidAmount,,,,
152,3,A,BT-114,Rounding amount,Amount,0..1,$.invoice.documentTotals.roundingAmount,0000.0053.0007,/Invoice/cac:LegalMonetaryTotal/cbc:PayableRoundingAmount,,,,
153,3,A,BT-115,Amount due for payment,Amount,1..1,$.invoice.documentTotals.amountDueForPayment,0000.0053.0008,/Invoice/cac:LegalMonetaryTotal/cbc:PayableAmount,,,,
154,2,C,BG-23,VAT breakdown,,1..*,$.invoice.vatBreakdown,0000.0051.0005,/Invoice/cac:TaxTotal[cbc:TaxAmount/@currencyID=/Invoice/cbc:DocumentCurrencyCode]/cac:TaxSubtotal,,,,
155,3,A,BT-116,VAT category taxable amount,Amount,1..1,$.invoice.vatBreakdown.vatCategoryTaxableAmount,0000.0051.0005.0001,/Invoice/cac:TaxTotal[cbc:TaxAmount/@currencyID=/Invoice/cbc:DocumentCurrencyCode]/cac:TaxSubtotal/cbc:TaxableAmount,,,,
156,3,A,BT-117,VAT category tax amount,Amount,1..1,$.invoice.vatBreakdown.vatCategoryTaxAmount,0000.0051.0005.0002,/Invoice/cac:TaxTotal[cbc:TaxAmount/@currencyID=/Invoice/cbc:DocumentCurrencyCode]/cac:TaxSubtotal/cbc:TaxAmount,,,,
157,3,A,BT-118,VAT category code,Code,1..1,$.invoice.vatBreakdown.vatCategoryCode,0000.0051.0005.0010.0001,/Invoice/cac:TaxTotal[cbc:TaxAmount/@currencyID=/Invoice/cbc:DocumentCurrencyCode]/cac:TaxSubtotal/cac:TaxCategory/cbc:ID,,,,
158,3,A,BT-119,VAT category rate,Decimal,0..1,$.invoice.vatBreakdown.vatCategoryRate,0000.0051.0005.0010.0003,/Invoice/cac:TaxTotal[cbc:TaxAmount/@currencyID=/Invoice/cbc:DocumentCurrencyCode]/cac:TaxSubtotal/cac:TaxCategory/cbc:Percent,,,,
159,3,A,BT-120,VAT exemption reason text,Text,0..1,$.invoice.vatBreakdown.vatExemptionReasonText,0000.0051.0005.0010.0007,/Invoice/cac:TaxTotal[cbc:TaxAmount/@currencyID=/Invoice/cbc:DocumentCurrencyCode]/cac:TaxSubtotal/cac:TaxCategory/cbc:TaxExemptionReason,,,,
160,3,A,BT-121,VAT exemption reason code,Code,0..1,$.invoice.vatBreakdown.vatExemptionReasonCode,0000.0051.0005.0010.0006,/Invoice/cac:TaxTotal[cbc:TaxAmount/@currencyID=/Invoice/cbc:DocumentCurrencyCode]/cac:TaxSubtotal/cac:TaxCategory/cbc:TaxExemptionReasonCode,,,,
161,2,C,BG-24,Additional supporting documents,,0..*,$.invoice.additionalSupportingDocuments,0000.0032,/Invoice/cac:AdditionalDocumentReference[not(cbc:DocumentTypeCode='130')],,,,
162,3,A,BT-122,Supporting document reference,Identifier,1..1,$.invoice.additionalSupportingDocuments.supportingDocumentReference,0000.0032.0001,/Invoice/cac:AdditionalDocumentReference[not(cbc:DocumentTypeCode='130')]/cbc:ID,,,,
163,3,A,BT-123,Supporting document description,Text,0..1,$.invoice.additionalSupportingDocuments.supportingDocumentDescription,0000.0032.0013,/Invoice/cac:AdditionalDocumentReference[not(cbc:DocumentTypeCode='130')]/cbc:DocumentDescription,,,,
164,3,A,BT-124,External document location,Identifier,0..1,$.invoice.additionalSupportingDocuments.externalDocumentLocation,0000.0032.0014.0002.0001,/Invoice/cac:AdditionalDocumentReference[not(cbc:DocumentTypeCode='130')]/cac:Attachment/cac:ExternalReference/cbc:URI,,,,
165,3,A,BT-125,Attached document,Binary object,0..1,$.invoice.additionalSupportingDocuments.attachedDocument,0000.0032.0014.0001,/Invoice/cac:AdditionalDocumentReference[not(cbc:DocumentTypeCode='130')]/cac:Attachment/cbc:EmbeddedDocumentBinaryObject,,,,
166,3,A,BT-125-1,Attached document MIME code,Code,1..1,$.invoice.additionalSupportingDocuments.attachedDocumentMimeCode,0000.0032.0014.0001.@mimeCode,/Invoice/cac:AdditionalDocumentReference/cac:Attachment/cbc:EmbeddedDocumentBinaryObject/@mimeCode,,,,
167,3,A,BT-125-2,Attached document filename,Text,1..1,$.invoice.additionalSupportingDocuments.attachedDocumentFilename,0000.0032.0014.0001.@filename,/Invoice/cac:AdditionalDocumentReference/cac:Attachment/cbc:EmbeddedDocumentBinaryObject/@filename,,,,
168,2,C,BG-25,Invoice line,,1..*,$.invoice.invoiceLine,0000.0054,/Invoice/cac:InvoiceLine,,,,
169,3,A,BT-126,Invoice line identifier,Identifier,1..1,$.invoice.invoiceLine.invoiceLineIdentifier,0000.0054.0001,/Invoice/cac:InvoiceLine/cbc:ID,,,,
170,3,A,BT-127,Invoice line note,Text,0..1,$.invoice.invoiceLine.invoiceLineNote,0000.0054.0003,/Invoice/cac:InvoiceLine/cbc:Note,,,,
171,3,A,BT-128,Invoice line object identifier,Identifier,0..1,$.invoice.invoiceLine.invoiceLineObjectIdentifier,0000.0054.0016.0001,/Invoice/cac:InvoiceLine/cac:DocumentReference/cbc:ID,,,,
172,3,A,BT-128-1,Scheme identifier,Identifier,0..1,$.invoice.invoiceLine.invoiceLineObjectIdentifierSchemeIdentifier,0000.0054.0016.0001.@schemeID,/Invoice/cac:InvoiceLine/cac:DocumentReference[cbc:DocumentTypeCode='130']/cbc:ID/@schemeID,,,,
173,3,A,BT-129,Invoiced quantity,Quantity,0..1,$.invoice.invoiceLine.invoicedQuantity,0000.0054.0004,/Invoice/cac:InvoiceLine/cbc:InvoicedQuantity,,,,
174,3,A,BT-130,Invoiced quantity unit code,Code,0..1,$.invoice.invoiceLine.invoicedQuantityUnitCode,0000.0054.0004.@unitCode,/Invoice/cac:InvoiceLine/cbc:InvoicedQuantity/@unitCode,,,,
175,3,A,BT-131,Invoice line net amount,Amount,1..1,$.invoice.invoiceLine.invoiceLineNetAmount,0000.0054.0005,/Invoice/cac:InvoiceLine/cbc:LineExtensionAmount,,,,
176,3,A,BT-132,Referenced purchase order line reference,Identifier,0..1,$.invoice.invoiceLine.referencedPurchaseOrderLineReference,0000.0054.0012.0001,/Invoice/cac:InvoiceLine/cac:OrderLineReference/cbc:LineID,,,,
177,3,A,BT-133,Invoice line buyer accounting reference,Text,0..1,$.invoice.invoiceLine.invoiceLineBuyerAccountingReference,0000.0054.0008,/Invoice/cac:InvoiceLine/cbc:AccountingCost,,,,
178,3,C,BG-26,Invoice line period,,0..1,$.invoice.invoiceLine.invoiceLinePeriod,0000.0054.0011,/Invoice/cac:InvoiceLine/cac:InvoicePeriod,,,,
179,4,A,BT-134,Invoice line period start date,Date,0..1,$.invoice.invoiceLine.invoiceLinePeriod.invoiceLinePeriodStartDate,0000.0054.0011.0001,/Invoice/cac:InvoiceLine/cac:InvoicePeriod/cbc:StartDate,,,,
180,4,A,BT-135,Invoice line period end date,Date,0..1,$.invoice.invoiceLine.invoiceLinePeriod.invoiceLinePeriodEndDate,0000.0054.0011.0003,/Invoice/cac:InvoiceLine/cac:InvoicePeriod/cbc:EndDate,,,,
181,3,C,BG-27,Invoice line allowances,,0..*,$.invoice.invoiceLine.invoiceLineAllowances,0000.0054.0021,/Invoice/cac:InvoiceLine/cac:AllowanceCharge[cbc:ChargeIndicator=false()],,,,
182,4,A,BT-136,Invoice line allowance amount,Amount,1..1,$.invoice.invoiceLine.invoiceLineAllowances.invoiceLineAllowanceAmount,0000.0054.0021.0008,/Invoice/cac:InvoiceLine/cac:AllowanceCharge[cbc:ChargeIndicator=false()]/cbc:Amount,,,,
183,4,A,BT-137,Invoice line allowance base amount,Amount,0..1,$.invoice.invoiceLine.invoiceLineAllowances.invoiceLineAllowanceBaseAmount,0000.0054.0021.0009,/Invoice/cac:InvoiceLine/cac:AllowanceCharge[cbc:ChargeIndicator=false()]/cbc:BaseAmount,,,,
184,4,A,BT-138,Invoice line allowance percentage,Percentage,0..1,$.invoice.invoiceLine.invoiceLineAllowances.invoiceLineAllowancePercentage,0000.0054.0021.0005,/Invoice/cac:InvoiceLine/cac:AllowanceCharge[cbc:ChargeIndicator=false()]/cbc:MultiplierFactorNumeric,,,,
185,4,A,BT-139,Invoice line allowance reason,Text,0..1,$.invoice.invoiceLine.invoiceLineAllowances.invoiceLineAllowanceReason,0000.0054.0021.0004,/Invoice/cac:InvoiceLine/cac:AllowanceCharge[cbc:ChargeIndicator=false()]/cbc:AllowanceChargeReason,,,,
186,4,A,BT-140,Invoice line allowance reason code,Code,0..1,$.invoice.invoiceLine.invoiceLineAllowances.invoiceLineAllowanceReasonCode,0000.0054.0021.0003,/Invoice/cac:InvoiceLine/cac:AllowanceCharge[cbc:ChargeIndicator=false()]/cbc:AllowanceChargeReasonCode,,,,
187,3,C,BG-28,Invoice line charges,,0..*,$.invoice.invoiceLine.invoiceLineCharges,0000.0054.0021,/Invoice/cac:InvoiceLine/cac:AllowanceCharge[cbc:ChargeIndicator=true()],,,,
188,4,A,BT-141,Invoice line charge amount,Amount,1..1,$.invoice.invoiceLine.invoiceLineCharges.invoiceLineChargeAmount,0000.0054.0021.0008,/Invoice/cac:InvoiceLine/cac:AllowanceCharge[cbc:ChargeIndicator=true()]/cbc:Amount,,,,
189,4,A,BT-142,Invoice line charge base amount,Amount,0..1,$.invoice.invoiceLine.invoiceLineCharges.invoiceLineChargeBaseAmount,0000.0054.0021.0009,/Invoice/cac:InvoiceLine/cac:AllowanceCharge[cbc:ChargeIndicator=true()]/cbc:BaseAmount,,,,
190,4,A,BT-143,Invoice line charge percentage,Percentage,0..1,$.invoice.invoiceLine.invoiceLineCharges.invoiceLineChargePercentage,0000.0054.0021.0005,/Invoice/cac:InvoiceLine/cac:AllowanceCharge[cbc:ChargeIndicator=true()]/cbc:MultiplierFactorNumeric,,,,
191,4,A,BT-144,Invoice line charge reason,Text,0..1,$.invoice.invoiceLine.invoiceLineCharges.invoiceLineChargeReason,0000.0054.0021.0004,/Invoice/cac:InvoiceLine/cac:AllowanceCharge[cbc:ChargeIndicator=true()]/cbc:AllowanceChargeReason,,,,
192,4,A,BT-145,Invoice line charge reason code,Code,0..1,$.invoice.invoiceLine.invoiceLineCharges.invoiceLineChargeReasonCode,0000.0054.0021.0003,/Invoice/cac:InvoiceLine/cac:AllowanceCharge[cbc:ChargeIndicator=true()]/cbc:AllowanceChargeReasonCode,,,,
193,3,C,BG-29,Price details,,1..1,$.invoice.invoiceLine.priceDetails,0000.0054.0025,/Invoice/cac:InvoiceLine/cac:Price,,,,
194,4,A,BT-146,Item net price,Amount,1..1,$.invoice.invoiceLine.priceDetails.itemNetPrice,0000.0054.0025.0001,/Invoice/cac:InvoiceLine/cac:Price/cbc:PriceAmount,,,,
195,4,A,BT-147,Item price discount,Amount,0..1,$.invoice.invoiceLine.priceDetails.itemPriceDiscount,0000.0054.0025.0009.0008,/Invoice/cac:InvoiceLine/cac:Price/cac:AllowanceCharge/cbc:Amount,,,,
196,4,A,BT-148,Item gross price,Amount,0..1,$.invoice.invoiceLine.priceDetails.itemGrossPrice,0000.0054.0025.0009.0009,/Invoice/cac:InvoiceLine/cac:Price/cac:AllowanceCharge/cbc:BaseAmount,,,,
197,4,A,BT-149,Item price base quantity,Quantity,0..1,$.invoice.invoiceLine.priceDetails.itemPriceBaseQuantity,0000.0054.0025.0002,/Invoice/cac:InvoiceLine/cac:Price/cbc:BaseQuantity,,,,
198,4,A,BT-150,Item price base quantity unit code,Code,0..1,$.invoice.invoiceLine.priceDetails.itemPriceBaseQuantityUnitCode,0000.0054.0025.0002.@unitCode,/Invoice/cac:InvoiceLine/cac:Price/cbc:BaseQuantity/@unitCode,,,,
199,3,C,BG-30,Line VAT information,,1..1,$.invoice.invoiceLine.lineVatInformation,0000.0054.0024.0023,/Invoice/cac:InvoiceLine/cac:Item/cac:ClassifiedTaxCategory,,,,
200,4,A,BT-151,Invoiced item VAT category code,Code,1..1,$.invoice.invoiceLine.lineVatInformation.invoicedItemVatCategoryCode,0000.0054.0024.0023.0001,/Invoice/cac:InvoiceLine/cac:Item/cac:ClassifiedTaxCategory/cbc:ID,,,,
201,4,A,BT-152,Invoiced item VAT rate,Decimal,0..1,$.invoice.invoiceLine.lineVatInformation.invoicedItemVatRate,0000.0054.0024.0023.0003,/Invoice/cac:InvoiceLine/cac:Item/cac:ClassifiedTaxCategory/cbc:Percent,,,,
202,3,C,BG-31,Item information,,1..1,$.invoice.invoiceLine.itemInformation,0000.0054.0024,/Invoice/cac:InvoiceLine/cac:Item,,,,
203,4,A,BT-153,Item name,Text,1..1,$.invoice.invoiceLine.itemInformation.itemName,0000.0054.0024.0005,/Invoice/cac:InvoiceLine/cac:Item/cbc:Name,,,,
204,4,A,BT-154,Item description,Text,0..1,$.invoice.invoiceLine.itemInformation.itemDescription,0000.0054.0024.0001,/Invoice/cac:InvoiceLine/cac:Item/cbc:Description,,,,
205,4,A,BT-155,Item seller identifier,Identifier,0..1,$.invoice.invoiceLine.itemInformation.itemSellerIdentifier,0000.0054.0024.0012.0001,/Invoice/cac:InvoiceLine/cac:Item/cac:SellersItemIdentification/cbc:ID,,,,
206,4,A,BT-156,Item buyer identifier,Identifier,0..1,$.invoice.invoiceLine.itemInformation.itemBuyerIdentifier,0000.0054.0024.0011.0001,/Invoice/cac:InvoiceLine/cac:Item/cac:BuyersItemIdentification/cbc:ID,,,,
207,4,A,BT-157,Item standard identifier,Identifier,0..1,$.invoice.invoiceLine.itemInformation.itemStandardIdentifier,0000.0054.0024.0014.0001,/Invoice/cac:InvoiceLine/cac:Item/cac:StandardItemIdentification/cbc:ID,,,,
208,4,A,BT-157-1,Scheme identifier,Identifier,1..1,$.invoice.invoiceLine.itemInformation.itemStandardIdentifierSchemeIdentifier,0000.0054.0024.0014.0001.@schemeID,/Invoice/cac:InvoiceLine/cac:Item/cac:StandardItemIdentification/cbc:ID/@schemeID,,,,
209,4,C,,Item Classification Identifier,,0..*,$.invoice.invoiceLine.itemInformation.itemClassificationIdentifier,0000.0054.0024.0020,/Invoice/cac:InvoiceLine/cac:Item/cac:CommodityClassification,,,,
210,5,A,BT-158,Identifier,Identifier,1..1,$.invoice.invoiceLine.itemInformation.itemClassificationIdentifier.identifier,0000.0054.0024.0020.0004,/Invoice/cac:InvoiceLine/cac:Item/cac:CommodityClassification/cbc:ItemClassificationCode,,,,
211,5,A,BT-158-1,Scheme identifier,Identifier,1..1,$.invoice.invoiceLine.itemInformation.itemClassificationIdentifier.schemeIdentifier,0000.0054.0024.0020.0004.@listID,/Invoice/cac:InvoiceLine/cac:Item/cac:CommodityClassification/cbc:ItemClassificationCode/@listID,,,,
212,5,A,BT-158-2,Scheme version identifier,Identifier,0..1,$.invoice.invoiceLine.itemInformation.itemClassificationIdentifier.schemeVersionIdentifier,0000.0054.0024.0020.0004.@listVersionID,/Invoice/cac:InvoiceLine/cac:Item/cac:CommodityClassification/cbc:ItemClassificationCode/@listVersionID,,,,
213,4,A,BT-159,Item country of origin,Code,0..1,$.invoice.invoiceLine.itemInformation.itemCountryOfOrigin,0000.0054.0024.0019.0001,/Invoice/cac:InvoiceLine/cac:Item/cac:OriginCountry/cbc:IdentificationCode,,,,
214,4,C,BG-32,Item attributes,,0..*,$.invoice.invoiceLine.itemInformation.itemAttributes,0000.0054.0024.0024,/Invoice/cac:InvoiceLine/cac:Item/cac:AdditionalItemProperty,,,,
215,5,A,BT-160,Item attribute name,Text,1..1,$.invoice.invoiceLine.itemInformation.itemAttributes.itemAttributeName,0000.0054.0024.0024.0002,/Invoice/cac:InvoiceLine/cac:Item/cac:AdditionalItemProperty/cbc:Name,,,,
216,5,A,BT-161,Item attribute value,Text,1..1,$.invoice.invoiceLine.itemInformation.itemAttributes.itemAttributeValue,0000.0054.0024.0024.0005,/Invoice/cac:InvoiceLine/cac:Item/cac:AdditionalItemProperty/cbc:Value,,,,
198,,F,UBL-REQ-MIMECODE,UBL required attachment MIME code default,Text,1..1,const:ubl.required.attachmentMimeCode,0000.0032.0014.0001.@mimeCode,/Invoice/cac:AdditionalDocumentReference[not(cbc:DocumentTypeCode='130')]/cac:Attachment/cbc:EmbeddedDocumentBinaryObject/@mimeCode,NA,,,
199,,F,UBL-REQ-NETWORKID,UBL required payment card network default,Text,1..1,const:ubl.required.paymentCardNetworkID,0000.0043.0008.0002,/Invoice/cac:PaymentMeans/cac:CardAccount/cbc:NetworkID,NA,,,
