sequence,syntax_sequence,level,structured_csv_level,type,identifier,name,datatype,multiplicity,domain_name,definition,module,class_term,id,semantic_path,label_local,definition_local,structured_csv_column,element,xpath,default_value,transformation,required,note
59,0000.0003.0002.0003.0001,3,3,C,,Buyer Identifier,,0..*,,"Project-defined Buyer Identifier in the Buyer Identifier context, represented as structured information.",en16931,Buyer Identifier,,$.invoice.buyer.buyerIdentifier[not(schemeIdentifier)],,,BuyerIdentifier,ram:ID,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:BuyerTradeParty/ram:ID,,CII_IDENTIFIER_VARIANT_LOCAL,false,
60,0000.0003.0002.0003.0001,4,4,A,,Identifier,Identifier,1..1,,"Project-defined Identifier in the Buyer Identifier context, represented as Identifier.",en16931,Buyer Identifier,BT-46,$.invoice.buyer.buyerIdentifier[not(schemeIdentifier)].identifier,,,BuyerIdentifierIdentifier,.,.,,CII_IDENTIFIER_VARIANT_LOCAL,true,
61,0000.0003.0002.0003.0002@schemeID,4,4,A,,Scheme identifier,Identifier,0..1,,"Project-defined Scheme identifier in the Buyer Identifier context, represented as Identifier.",en16931,Buyer Identifier,BT-46-1,$.invoice.buyer.buyerIdentifier[schemeIdentifier].schemeIdentifier,,,BuyerIdentifierSchemeIdentifier,@schemeID,@schemeID,,,false,
9001,0000.0003.0003,2,2,F,,CII required ApplicableHeaderTradeDelivery,String,1..1,,"Project-defined CII required ApplicableHeaderTradeDelivery in the CII syntax context, represented as String.",cii,CII syntax,CII-REQ,const:cii.CII.required.ApplicableHeaderTradeDelivery,,,,ram:ApplicableHeaderTradeDelivery,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeDelivery,NA,,true,
9002,0000.0002.0003.0001@format,3,3,F,,Invoice issue date format,String,1..1,,"Project-defined Invoice issue date format in the CII syntax context, represented as String.",cii,CII syntax,CII-REQ,const:cii.Invoice.issue.date.format,,,,@format,/rsm:CrossIndustryInvoice/rsm:ExchangedDocument/ram:IssueDateTime/udt:DateTimeString/@format,102,,true,
9003,0000.0003.0004.0007.0007.0001@format,4,4,F,,VAT point date format,String,1..1,,"Project-defined VAT point date format in the CII syntax context, represented as String.",cii,CII syntax,CII-REQ,const:cii.VAT.point.date.format,,,,@format,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:ApplicableTradeTax/ram:TaxPointDate/udt:DateString/@format,102,,true,
9004,0000.0003.0004.0010.0002.0001@format,4,4,F,,Payment due date format,String,1..1,,"Project-defined Payment due date format in the CII syntax context, represented as String.",cii,CII syntax,CII-REQ,const:cii.Payment.due.date.format,,,,@format,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:SpecifiedTradePaymentTerms/ram:DueDateDateTime/udt:DateTimeString/@format,102,,true,
9005,0000.0003.0004.0012.0002.0001@format,4,4,F,,Preceding invoice issue date format,String,1..1,,"Project-defined Preceding invoice issue date format in the CII syntax context, represented as String.",cii,CII syntax,CII-REQ,const:cii.Preceding.invoice.issue.date.format,,,,@format,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:InvoiceReferencedDocument/ram:FormattedIssueDateTime/qdt:DateTimeString/@format,102,,true,
9006,0000.0003.0003.0002.0001.0001@format,4,4,F,,Actual delivery date format,String,1..1,,"Project-defined Actual delivery date format in the CII syntax context, represented as String.",cii,CII syntax,CII-REQ,const:cii.Actual.delivery.date.format,,,,@format,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeDelivery/ram:ActualDeliverySupplyChainEvent/ram:OccurrenceDateTime/udt:DateTimeString/@format,102,,true,
9007,0000.0003.0004.0008.0001.0001@format,4,4,F,,Invoice period start date format,String,1..1,,"Project-defined Invoice period start date format in the CII syntax context, represented as String.",cii,CII syntax,CII-REQ,const:cii.Invoice.period.start.date.format,,,,@format,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:BillingSpecifiedPeriod/ram:StartDateTime/udt:DateTimeString/@format,102,,true,
9008,0000.0003.0004.0008.0002.0001@format,4,4,F,,Invoice period end date format,String,1..1,,"Project-defined Invoice period end date format in the CII syntax context, represented as String.",cii,CII syntax,CII-REQ,const:cii.Invoice.period.end.date.format,,,,@format,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:BillingSpecifiedPeriod/ram:EndDateTime/udt:DateTimeString/@format,102,,true,
9009,0000.0003.0001.0005.0003.0001.0001@format,5,5,F,,Invoice line period start date format,String,1..1,,"Project-defined Invoice line period start date format in the CII syntax context, represented as String.",cii,CII syntax,CII-REQ,const:cii.Invoice.line.period.start.date.format,,,,@format,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:IncludedSupplyChainTradeLineItem/ram:SpecifiedLineTradeSettlement/ram:BillingSpecifiedPeriod/ram:StartDateTime/udt:DateTimeString/@format,102,,true,
9010,0000.0003.0001.0005.0003.0002.0001@format,5,5,F,,Invoice line period end date format,String,1..1,,"Project-defined Invoice line period end date format in the CII syntax context, represented as String.",cii,CII syntax,CII-REQ,const:cii.Invoice.line.period.end.date.format,,,,@format,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:IncludedSupplyChainTradeLineItem/ram:SpecifiedLineTradeSettlement/ram:BillingSpecifiedPeriod/ram:EndDateTime/udt:DateTimeString/@format,102,,true,
